,Accuracy,Shape
300,"(0.790948275862069, 0.46994535519125685, 0.3745029861544442)","(0.1625615763546798, 3.557669441141498, 0.17063492063492064)"
301,"(0.790948275862069, 0.46994535519125685, 0.3745029861544442)","(0.1625615763546798, 3.557669441141498, 0.17063492063492064)"
302,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
303,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
304,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
305,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
306,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
307,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
308,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
309,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
310,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
311,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
312,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
313,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
314,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
315,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
316,"(0.7931034482758621, 0.4782608695652174, 0.3827249173313178)","(0.16502463054187191, 3.476813317479192, 0.167989417989418)"
