,Accuracy,Shape
182,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.5279429250891807, 0.08597883597883597)"
183,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.5279429250891807, 0.08597883597883597)"
184,"(0.8873563218390804, 0.5242718446601942, 0.4829897799286919)","(0.0960591133004926, 2.351961950059453, 0.08862433862433862)"
185,"(0.8873563218390804, 0.5242718446601942, 0.4829897799286919)","(0.0960591133004926, 2.351961950059453, 0.08862433862433862)"
186,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.3900118906064214, 0.08597883597883597)"
187,"(0.8873563218390804, 0.5242718446601942, 0.4829897799286919)","(0.0960591133004926, 2.351961950059453, 0.08862433862433862)"
188,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.3900118906064214, 0.08597883597883597)"
189,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.3900118906064214, 0.08597883597883597)"
190,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.3900118906064214, 0.08597883597883597)"
191,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.3900118906064214, 0.08597883597883597)"
192,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.3900118906064214, 0.08597883597883597)"
193,"(0.8827586206896552, 0.5142857142857142, 0.4657206282608049)","(0.10098522167487685, 2.4875148632580264, 0.12169312169312169)"
194,"(0.8827586206896552, 0.5142857142857142, 0.4657206282608049)","(0.10098522167487685, 2.4875148632580264, 0.12169312169312169)"
195,"(0.8827586206896552, 0.5142857142857142, 0.4657206282608049)","(0.10098522167487685, 2.4875148632580264, 0.12169312169312169)"
196,"(0.8827586206896552, 0.5142857142857142, 0.4657206282608049)","(0.10098522167487685, 2.4875148632580264, 0.12169312169312169)"
197,"(0.8827586206896552, 0.5142857142857142, 0.4657206282608049)","(0.10098522167487685, 2.4875148632580264, 0.12169312169312169)"
198,"(0.8827586206896552, 0.5142857142857142, 0.4657206282608049)","(0.10098522167487685, 2.4875148632580264, 0.12169312169312169)"
199,"(0.8827586206896552, 0.5142857142857142, 0.4657206282608049)","(0.10098522167487685, 2.4875148632580264, 0.12169312169312169)"
200,"(0.8827586206896552, 0.5142857142857142, 0.4657206282608049)","(0.10098522167487685, 2.4875148632580264, 0.12169312169312169)"
201,"(0.8827586206896552, 0.5142857142857142, 0.4657206282608049)","(0.10098522167487685, 2.4875148632580264, 0.12169312169312169)"
202,"(0.8827586206896552, 0.5142857142857142, 0.4657206282608049)","(0.10098522167487685, 2.4875148632580264, 0.12169312169312169)"
203,"(0.8827586206896552, 0.5142857142857142, 0.4657206282608049)","(0.10098522167487685, 2.4875148632580264, 0.12169312169312169)"
204,"(0.8850574712643678, 0.5283018867924528, 0.4794682649372668)","(0.10344827586206896, 2.644470868014268, 0.11904761904761904)"
205,"(0.8850574712643678, 0.5283018867924528, 0.4794682649372668)","(0.10344827586206896, 2.644470868014268, 0.11904761904761904)"
206,"(0.8850574712643678, 0.5283018867924528, 0.4794682649372668)","(0.10344827586206896, 2.644470868014268, 0.11904761904761904)"
207,"(0.8850574712643678, 0.5283018867924528, 0.4794682649372668)","(0.10344827586206896, 2.644470868014268, 0.11904761904761904)"
208,"(0.8850574712643678, 0.5283018867924528, 0.4794682649372668)","(0.10344827586206896, 2.644470868014268, 0.11904761904761904)"
209,"(0.8850574712643678, 0.5283018867924528, 0.4794682649372668)","(0.10344827586206896, 2.644470868014268, 0.11904761904761904)"
210,"(0.8850574712643678, 0.5283018867924528, 0.4794682649372668)","(0.10344827586206896, 2.644470868014268, 0.11904761904761904)"
211,"(0.8850574712643678, 0.5283018867924528, 0.4794682649372668)","(0.10344827586206896, 2.644470868014268, 0.11904761904761904)"
212,"(0.8850574712643678, 0.5283018867924528, 0.4794682649372668)","(0.10344827586206896, 2.644470868014268, 0.11904761904761904)"
213,"(0.8873563218390804, 0.5420560747663551, 0.49300898015954947)","(0.10591133004926108, 2.585017835909631, 0.1164021164021164)"
214,"(0.8873563218390804, 0.5420560747663551, 0.49300898015954947)","(0.10591133004926108, 2.585017835909631, 0.1164021164021164)"
215,"(0.8850574712643678, 0.5370370370370371, 0.4848306853823178)","(0.10837438423645321, 2.72294887039239, 0.11375661375661375)"
216,"(0.8850574712643678, 0.5370370370370371, 0.4848306853823178)","(0.10837438423645321, 2.72294887039239, 0.11375661375661375)"
217,"(0.8850574712643678, 0.5370370370370371, 0.4848306853823178)","(0.10837438423645321, 2.72294887039239, 0.11375661375661375)"
218,"(0.8850574712643678, 0.5370370370370371, 0.4848306853823178)","(0.10837438423645321, 2.72294887039239, 0.11375661375661375)"
219,"(0.8850574712643678, 0.5370370370370371, 0.4848306853823178)","(0.10837438423645321, 2.72294887039239, 0.11375661375661375)"
220,"(0.8850574712643678, 0.5370370370370371, 0.4848306853823178)","(0.10837438423645321, 2.72294887039239, 0.11375661375661375)"
221,"(0.8850574712643678, 0.5370370370370371, 0.4848306853823178)","(0.10837438423645321, 2.72294887039239, 0.11375661375661375)"
222,"(0.8850574712643678, 0.5370370370370371, 0.4848306853823178)","(0.10837438423645321, 2.72294887039239, 0.11375661375661375)"
223,"(0.8850574712643678, 0.5370370370370371, 0.4848306853823178)","(0.10837438423645321, 2.72294887039239, 0.11375661375661375)"
224,"(0.8850574712643678, 0.5370370370370371, 0.4848306853823178)","(0.10837438423645321, 2.72294887039239, 0.11375661375661375)"
225,"(0.8850574712643678, 0.5370370370370371, 0.4848306853823178)","(0.10837438423645321, 2.72294887039239, 0.11375661375661375)"
226,"(0.8850574712643678, 0.5370370370370371, 0.4848306853823178)","(0.10837438423645321, 2.72294887039239, 0.11375661375661375)"
227,"(0.8850574712643678, 0.5370370370370371, 0.4848306853823178)","(0.10837438423645321, 2.72294887039239, 0.11375661375661375)"
