,Accuracy,Shape
1831,"(0.6875, 0.44866920152091255, 0.23710270449821344)","(0.35960591133004927, 16.960760998810937, 0.49603174603174605)"
1832,"(0.6875, 0.44866920152091255, 0.23710270449821344)","(0.35960591133004927, 16.960760998810937, 0.49603174603174605)"
1833,"(0.6875, 0.44866920152091255, 0.23710270449821344)","(0.35960591133004927, 16.960760998810937, 0.49603174603174605)"
1834,"(0.6896551724137931, 0.45454545454545453, 0.2446450745082996)","(0.3620689655172414, 16.94649227110582, 0.4933862433862434)"
1835,"(0.6896551724137931, 0.45454545454545453, 0.2446450745082996)","(0.3620689655172414, 16.94649227110582, 0.4933862433862434)"
1836,"(0.6896551724137931, 0.45454545454545453, 0.2446450745082996)","(0.3620689655172414, 16.94649227110582, 0.4933862433862434)"
1837,"(0.6896551724137931, 0.45454545454545453, 0.2446450745082996)","(0.3620689655172414, 16.94649227110582, 0.4933862433862434)"
1838,"(0.6896551724137931, 0.45454545454545453, 0.2446450745082996)","(0.3620689655172414, 16.94649227110582, 0.4933862433862434)"
1839,"(0.6896551724137931, 0.45454545454545453, 0.2446450745082996)","(0.3620689655172414, 16.94649227110582, 0.4933862433862434)"
1840,"(0.6896551724137931, 0.45454545454545453, 0.2446450745082996)","(0.3620689655172414, 16.94649227110582, 0.4933862433862434)"
1841,"(0.6896551724137931, 0.45454545454545453, 0.2446450745082996)","(0.3620689655172414, 16.94649227110582, 0.4933862433862434)"
1842,"(0.6896551724137931, 0.45454545454545453, 0.2446450745082996)","(0.3620689655172414, 16.94649227110582, 0.4933862433862434)"
1843,"(0.6896551724137931, 0.45454545454545453, 0.2446450745082996)","(0.3620689655172414, 16.94649227110582, 0.4933862433862434)"
1844,"(0.6896551724137931, 0.45454545454545453, 0.2446450745082996)","(0.3620689655172414, 16.94649227110582, 0.4933862433862434)"
1845,"(0.6896551724137931, 0.45454545454545453, 0.2446450745082996)","(0.3620689655172414, 16.94649227110582, 0.4933862433862434)"
1846,"(0.6875, 0.4528301886792453, 0.24151759319174987)","(0.3645320197044335, 16.508917954815697, 0.49074074074074076)"
1847,"(0.6875, 0.4528301886792453, 0.24151759319174987)","(0.3645320197044335, 16.508917954815697, 0.49074074074074076)"
1848,"(0.6875, 0.4528301886792453, 0.24151759319174987)","(0.3645320197044335, 16.508917954815697, 0.49074074074074076)"
1849,"(0.6875, 0.4528301886792453, 0.24151759319174987)","(0.3645320197044335, 16.508917954815697, 0.49074074074074076)"
