,Accuracy,Shape
725,"(0.7801724137931034, 0.47959183673469385, 0.3575698680736404)","(0.19458128078817735, 6.040428061831153, 0.21296296296296297)"
726,"(0.7801724137931034, 0.47959183673469385, 0.3575698680736404)","(0.19458128078817735, 6.040428061831153, 0.21296296296296297)"
727,"(0.7801724137931034, 0.47959183673469385, 0.3575698680736404)","(0.19458128078817735, 6.040428061831153, 0.21296296296296297)"
728,"(0.7801724137931034, 0.47959183673469385, 0.3575698680736404)","(0.19458128078817735, 6.040428061831153, 0.21296296296296297)"
729,"(0.7801724137931034, 0.47959183673469385, 0.3575698680736404)","(0.19458128078817735, 6.040428061831153, 0.21296296296296297)"
730,"(0.7801724137931034, 0.47959183673469385, 0.3575698680736404)","(0.19458128078817735, 6.040428061831153, 0.21296296296296297)"
731,"(0.7801724137931034, 0.47959183673469385, 0.3575698680736404)","(0.19458128078817735, 6.040428061831153, 0.21296296296296297)"
732,"(0.7801724137931034, 0.47959183673469385, 0.3575698680736404)","(0.19458128078817735, 6.040428061831153, 0.21296296296296297)"
733,"(0.7801724137931034, 0.47959183673469385, 0.3575698680736404)","(0.19458128078817735, 6.040428061831153, 0.21296296296296297)"
734,"(0.7801724137931034, 0.47959183673469385, 0.3575698680736404)","(0.19458128078817735, 6.040428061831153, 0.21296296296296297)"
735,"(0.7801724137931034, 0.47959183673469385, 0.3575698680736404)","(0.19458128078817735, 6.040428061831153, 0.21296296296296297)"
736,"(0.7801724137931034, 0.47959183673469385, 0.3575698680736404)","(0.19458128078817735, 6.040428061831153, 0.21296296296296297)"
737,"(0.7801724137931034, 0.47959183673469385, 0.3575698680736404)","(0.19458128078817735, 6.040428061831153, 0.21296296296296297)"
738,"(0.7801724137931034, 0.47959183673469385, 0.3575698680736404)","(0.19458128078817735, 6.040428061831153, 0.21296296296296297)"
739,"(0.7801724137931034, 0.47959183673469385, 0.3575698680736404)","(0.19458128078817735, 6.040428061831153, 0.21296296296296297)"
740,"(0.7801724137931034, 0.47959183673469385, 0.3575698680736404)","(0.19458128078817735, 6.040428061831153, 0.21296296296296297)"
741,"(0.7801724137931034, 0.47959183673469385, 0.3575698680736404)","(0.19458128078817735, 6.040428061831153, 0.21296296296296297)"
742,"(0.7801724137931034, 0.47959183673469385, 0.3575698680736404)","(0.19458128078817735, 6.040428061831153, 0.21296296296296297)"
743,"(0.7801724137931034, 0.47959183673469385, 0.3575698680736404)","(0.19458128078817735, 6.040428061831153, 0.21296296296296297)"
744,"(0.7801724137931034, 0.47959183673469385, 0.3575698680736404)","(0.19458128078817735, 6.040428061831153, 0.21296296296296297)"
745,"(0.7823275862068966, 0.4873096446700508, 0.3656160424810035)","(0.19704433497536947, 5.8359096313912024, 0.21031746031746032)"
746,"(0.7823275862068966, 0.4873096446700508, 0.3656160424810035)","(0.19704433497536947, 5.8359096313912024, 0.21031746031746032)"
747,"(0.7823275862068966, 0.4873096446700508, 0.3656160424810035)","(0.19704433497536947, 5.8359096313912024, 0.21031746031746032)"
748,"(0.7823275862068966, 0.4873096446700508, 0.3656160424810035)","(0.19704433497536947, 5.8359096313912024, 0.21031746031746032)"
749,"(0.7823275862068966, 0.4873096446700508, 0.3656160424810035)","(0.19704433497536947, 5.8359096313912024, 0.21031746031746032)"
750,"(0.7823275862068966, 0.4873096446700508, 0.3656160424810035)","(0.19704433497536947, 5.8359096313912024, 0.21031746031746032)"
751,"(0.7823275862068966, 0.4873096446700508, 0.3656160424810035)","(0.19704433497536947, 5.8359096313912024, 0.21031746031746032)"
752,"(0.7823275862068966, 0.4873096446700508, 0.3656160424810035)","(0.19704433497536947, 5.8359096313912024, 0.21031746031746032)"
753,"(0.7823275862068966, 0.4873096446700508, 0.3656160424810035)","(0.19704433497536947, 5.8359096313912024, 0.21031746031746032)"
754,"(0.7823275862068966, 0.4873096446700508, 0.3656160424810035)","(0.19704433497536947, 5.8359096313912024, 0.21031746031746032)"
755,"(0.7823275862068966, 0.4873096446700508, 0.3656160424810035)","(0.19704433497536947, 5.8359096313912024, 0.21031746031746032)"
756,"(0.7823275862068966, 0.4873096446700508, 0.3656160424810035)","(0.19704433497536947, 5.8359096313912024, 0.21031746031746032)"
757,"(0.7823275862068966, 0.4873096446700508, 0.3656160424810035)","(0.19704433497536947, 5.8359096313912024, 0.21031746031746032)"
758,"(0.7823275862068966, 0.4873096446700508, 0.3656160424810035)","(0.19704433497536947, 5.8359096313912024, 0.21031746031746032)"
759,"(0.7823275862068966, 0.4873096446700508, 0.3656160424810035)","(0.19704433497536947, 5.8359096313912024, 0.21031746031746032)"
760,"(0.7823275862068966, 0.4873096446700508, 0.3656160424810035)","(0.19704433497536947, 5.8359096313912024, 0.21031746031746032)"
761,"(0.7823275862068966, 0.4873096446700508, 0.3656160424810035)","(0.19704433497536947, 5.8359096313912024, 0.21031746031746032)"
762,"(0.7801724137931034, 0.48484848484848486, 0.36052943298101897)","(0.19950738916256158, 6.242568370986921, 0.20767195767195767)"
763,"(0.7801724137931034, 0.48484848484848486, 0.36052943298101897)","(0.19950738916256158, 6.242568370986921, 0.20767195767195767)"
764,"(0.7801724137931034, 0.48484848484848486, 0.36052943298101897)","(0.19950738916256158, 6.242568370986921, 0.20767195767195767)"
765,"(0.7801724137931034, 0.48484848484848486, 0.36052943298101897)","(0.19950738916256158, 6.242568370986921, 0.20767195767195767)"
766,"(0.7801724137931034, 0.48484848484848486, 0.36052943298101897)","(0.19950738916256158, 6.242568370986921, 0.20767195767195767)"
767,"(0.7780172413793104, 0.4824120603015075, 0.35551216942663105)","(0.2019704433497537, 6.019024970273484, 0.20502645502645503)"
768,"(0.7780172413793104, 0.4824120603015075, 0.35551216942663105)","(0.2019704433497537, 6.019024970273484, 0.20502645502645503)"
769,"(0.7780172413793104, 0.4824120603015075, 0.35551216942663105)","(0.2019704433497537, 6.019024970273484, 0.20502645502645503)"
770,"(0.7780172413793104, 0.4824120603015075, 0.35551216942663105)","(0.2019704433497537, 6.019024970273484, 0.20502645502645503)"
771,"(0.7780172413793104, 0.4824120603015075, 0.35551216942663105)","(0.2019704433497537, 6.019024970273484, 0.20502645502645503)"
772,"(0.7780172413793104, 0.4824120603015075, 0.35551216942663105)","(0.2019704433497537, 6.019024970273484, 0.20502645502645503)"
773,"(0.7780172413793104, 0.4824120603015075, 0.35551216942663105)","(0.2019704433497537, 6.019024970273484, 0.20502645502645503)"
774,"(0.7780172413793104, 0.4824120603015075, 0.35551216942663105)","(0.2019704433497537, 6.019024970273484, 0.20502645502645503)"
775,"(0.7780172413793104, 0.4824120603015075, 0.35551216942663105)","(0.2019704433497537, 6.019024970273484, 0.20502645502645503)"
776,"(0.7780172413793104, 0.4824120603015075, 0.35551216942663105)","(0.2019704433497537, 6.019024970273484, 0.20502645502645503)"
777,"(0.7780172413793104, 0.4824120603015075, 0.35551216942663105)","(0.2019704433497537, 6.019024970273484, 0.20502645502645503)"
778,"(0.7780172413793104, 0.4824120603015075, 0.35551216942663105)","(0.2019704433497537, 6.019024970273484, 0.20502645502645503)"
779,"(0.7780172413793104, 0.4824120603015075, 0.35551216942663105)","(0.2019704433497537, 6.019024970273484, 0.20502645502645503)"
780,"(0.7780172413793104, 0.4824120603015075, 0.35551216942663105)","(0.2019704433497537, 6.019024970273484, 0.20502645502645503)"
781,"(0.7780172413793104, 0.4824120603015075, 0.35551216942663105)","(0.2019704433497537, 6.019024970273484, 0.20502645502645503)"
782,"(0.7780172413793104, 0.4824120603015075, 0.35551216942663105)","(0.2019704433497537, 6.019024970273484, 0.20502645502645503)"
