,Accuracy,Shape
1551,"(0.7219827586206896, 0.4819277108433735, 0.29387855235478866)","(0.3251231527093596, 13.885850178359094, 0.3412698412698413)"
1552,"(0.7219827586206896, 0.4819277108433735, 0.29387855235478866)","(0.3251231527093596, 13.885850178359094, 0.3412698412698413)"
1553,"(0.7219827586206896, 0.4819277108433735, 0.29387855235478866)","(0.3251231527093596, 13.885850178359094, 0.3412698412698413)"
1554,"(0.7219827586206896, 0.4819277108433735, 0.29387855235478866)","(0.3251231527093596, 13.885850178359094, 0.3412698412698413)"
1555,"(0.7219827586206896, 0.4819277108433735, 0.29387855235478866)","(0.3251231527093596, 13.885850178359094, 0.3412698412698413)"
1556,"(0.7219827586206896, 0.4819277108433735, 0.29387855235478866)","(0.3251231527093596, 13.885850178359094, 0.3412698412698413)"
1557,"(0.7219827586206896, 0.4819277108433735, 0.29387855235478866)","(0.3251231527093596, 13.885850178359094, 0.3412698412698413)"
1558,"(0.7219827586206896, 0.4819277108433735, 0.29387855235478866)","(0.3251231527093596, 13.885850178359094, 0.3412698412698413)"
1559,"(0.7219827586206896, 0.4819277108433735, 0.29387855235478866)","(0.3251231527093596, 13.885850178359094, 0.3412698412698413)"
1560,"(0.7219827586206896, 0.4819277108433735, 0.29387855235478866)","(0.3251231527093596, 13.885850178359094, 0.3412698412698413)"
1561,"(0.7219827586206896, 0.4819277108433735, 0.29387855235478866)","(0.3251231527093596, 13.885850178359094, 0.3412698412698413)"
1562,"(0.7219827586206896, 0.4819277108433735, 0.29387855235478866)","(0.3251231527093596, 13.885850178359094, 0.3412698412698413)"
1563,"(0.7219827586206896, 0.4819277108433735, 0.29387855235478866)","(0.3251231527093596, 13.885850178359094, 0.3412698412698413)"
1564,"(0.7219827586206896, 0.4819277108433735, 0.29387855235478866)","(0.3251231527093596, 13.885850178359094, 0.3412698412698413)"
1565,"(0.7219827586206896, 0.4819277108433735, 0.29387855235478866)","(0.3251231527093596, 13.885850178359094, 0.3412698412698413)"
1566,"(0.7219827586206896, 0.4819277108433735, 0.29387855235478866)","(0.3251231527093596, 13.885850178359094, 0.3412698412698413)"
1567,"(0.7219827586206896, 0.4819277108433735, 0.29387855235478866)","(0.3251231527093596, 13.885850178359094, 0.3412698412698413)"
1568,"(0.7219827586206896, 0.4819277108433735, 0.29387855235478866)","(0.3251231527093596, 13.885850178359094, 0.3412698412698413)"
1569,"(0.7198275862068966, 0.48, 0.2904460762016376)","(0.3275862068965517, 14.556480380499405, 0.376984126984127)"
1570,"(0.7198275862068966, 0.48, 0.2904460762016376)","(0.3275862068965517, 14.556480380499405, 0.376984126984127)"
1571,"(0.7198275862068966, 0.48, 0.2904460762016376)","(0.3275862068965517, 14.556480380499405, 0.376984126984127)"
1572,"(0.7198275862068966, 0.48, 0.2904460762016376)","(0.3275862068965517, 14.556480380499405, 0.376984126984127)"
1573,"(0.7198275862068966, 0.48, 0.2904460762016376)","(0.3275862068965517, 14.556480380499405, 0.376984126984127)"
1574,"(0.7198275862068966, 0.48, 0.2904460762016376)","(0.3275862068965517, 14.556480380499405, 0.376984126984127)"
1575,"(0.7198275862068966, 0.48, 0.2904460762016376)","(0.3275862068965517, 14.556480380499405, 0.376984126984127)"
1576,"(0.7198275862068966, 0.48, 0.2904460762016376)","(0.3275862068965517, 14.556480380499405, 0.376984126984127)"
1577,"(0.7198275862068966, 0.48, 0.2904460762016376)","(0.3275862068965517, 14.556480380499405, 0.376984126984127)"
1578,"(0.7198275862068966, 0.48, 0.2904460762016376)","(0.3275862068965517, 14.556480380499405, 0.376984126984127)"
1579,"(0.7198275862068966, 0.48, 0.2904460762016376)","(0.3275862068965517, 14.556480380499405, 0.376984126984127)"
1580,"(0.7198275862068966, 0.48, 0.2904460762016376)","(0.3275862068965517, 14.556480380499405, 0.376984126984127)"
1581,"(0.7198275862068966, 0.48, 0.2904460762016376)","(0.3275862068965517, 14.556480380499405, 0.376984126984127)"
1582,"(0.7198275862068966, 0.48, 0.2904460762016376)","(0.3275862068965517, 14.556480380499405, 0.376984126984127)"
1583,"(0.7198275862068966, 0.48, 0.2904460762016376)","(0.3275862068965517, 14.556480380499405, 0.376984126984127)"
